id,text
1074852075660546053,RT @Ravenyo81614986: Live a life for people to remember how great you do that and never give up on your goals
1074851923558367233,Live a life for people to remember how great you do that and never give up on your goals
1074851599896457216,RT @agabacollinss: Our very own Kanye West and Drake here in Ug.😁😁😁 https://t.co/9JxAowJUYL
1074849413527416832,RT @itsall4thegame: How cute. 😂😂🙄🙄😒 https://t.co/phedIoOA28
1074847699156041728,"RT @OhioState: 'Tis the season for decorations, but which is better for the environment — a real or fake tree? 🎄"
1074847536932945921,"RT @OhioStAthletics: ⭐️ Buckeye Best ⭐️

🏀 @OhioStateHoops &amp; @OhioStateWBB hustle for wins
🤼‍♂️ @wrestlingbucks legend @Snyder_man45 Top 🔟…"
1074847514610798593,"RT @bigten: This week, 14 @OhioStAthletics students participated in their third annual service-learning experience in Mexico through Bucks…"
1074755672598822912,RT @Ravenyo81614986: Don’t expect anything from anyone because people disappoint more than you can ever think and you trust yourself alone .
1074755639933628416,Don’t expect anything from anyone because people disappoint more than you can ever think and you trust yourself alone .
1074755296709566464,RT @OhioStateWBB: 🌰🏀⭕️🙌 Win Recap https://t.co/XHMLh5sb5C
